Product Name,Category,Price,City
Маслины и Оливки Gustose Le Bontà mix 3100 мл,Антипасти,18 800 Т,Astana
Le Bonta Брускетта из артишоков 212 мл,Антипасти,2 700 Т,Astana
Alicos Соус Ортолана 350 гр,Антипасти,2 000 Т,Astana
Артишоки четвертинки Paesana Le Bonta 3100 мл.,Антипасти,20 000 Т,Astana
Артишоки со стеблями на гриле  Alla Romana Le Bonta 3100 мл,Антипасти,24 000 Т,Astana
Le Bonta Брускетта Del Casale 212 мл,Антипасти,2 700 Т,Astana
Le Bonta Артишоки четвертинка Paesana 314 мл,Антипасти,4 800 Т,Astana
Alicos Песто Фисташковый 180 гр,Антипасти,5 000 Т,Astana
Alicos Песто Фисташковый 40 гр,Антипасти,1 500 Т,Astana
Лук на гриле с Бальзамическим уксусом Le Bonta 314 мл,Антипасти,3 500 Т,Astana
"Перец Черри фаршированный с Тунцом и Каперсами, Le Bonta 1700 мл.",Антипасти,16 500 Т,Astana
Le Bonta Брускетта Del Casale 580 мл,Антипасти,5 500 Т,Astana
Соус пепероната Alicos 190 гр,Антипасти,3 000 Т,Astana
Alicos  Песто Фисташковый 90 гр,Антипасти,3 000 Т,Astana
Plaza Del Sol Нут вареный 540 гр,Антипасти,1 700 Т,Astana
Alicos  Миндальная паста 90 гр,Антипасти,2 600 Т,Astana
Le Bonta Брускетта из артишоков 580 мл,Антипасти,5 500 Т,Astana
Le Bonta Брускетта из перца 212 мл,Антипасти,2 700 Т,Astana
Паста из Сладкого перца Alicos 190 гр,Антипасти,3 600 Т,Astana
Casa Marrazzo Целые очищенные помидоры Сан Марцано с базиликом 800 гр,Антипасти,5 300 Т,Astana
Plaza Del Sol Лук маринованный 350 гр,Антипасти,1 700 Т,Astana
Оливки измельченные Del Casale Le Bonta 3100 мл,Антипасти,18 800 Т,Astana
Casa Marrazzo Соус пассата из желтых помидоров 2600 гр,Антипасти,4 500 Т,Astana
Alicos Соус сальса с помидорами черри и финиковыми помидорами 330 гр,Антипасти,2 000 Т,Astana
Alicos  Паста из артишоков 190 гр,Антипасти,990 Т,Astana
Alicos Песто Капулиато пикантная из вяленых помидор 190 гр,Антипасти,3 600 Т,Astana
Le Bonta Соус для пасты с овощами 314 мл,Антипасти,2 900 Т,Astana
Plaza Del Sol Перец Пикильо целиком 290 гр,Антипасти,2 200 Т,Astana
Alicos Соус из помидоров черри и перца 330 гр,Антипасти,2 000 Т,Astana
Перец на гриле в масле Le Bonta 1700 мл,Антипасти,10 800 Т,Astana
Plaza Del Sol Перец Пикильо нарезанный 280 гр,Антипасти,2 200 Т,Astana
Alicos Соус Пассата с помидорами черри 660 гр,Антипасти,2 500 Т,Astana
Plaza Del Sol Перец Пикильо с тунцом 225 гр,Антипасти,3 500 Т,Astana
Le Bonta Артишоки сердцевина в рассоле ж/б 2650 мл,Антипасти,12 800 Т,Astana
Артишоки со стеблями alla PugLiese ж/б Le Bonta  2650 мл,Антипасти,16 800 Т,Astana
Alicos  Артишоки Нонна Пеппа-банка 190 гр,Антипасти,3 600 Т,Astana
Le Bonta  Каперсы в уксусе 1700 мл,Антипасти,10 800 Т,Astana
Casa Marrazzo Соус из томатов Черри Пьенноло Дель Везувио 1000 гр,Антипасти,7 500 Т,Astana
Шампиньоны на гриле Le Bonta 1700 мл,Антипасти,16 800 Т,Astana
Le Bonta Артишок сердцевина Rustici  314 мл,Антипасти,4 800 Т,Astana
Plaza Del Sol Фасоль сливочная вареная 540 гр,Антипасти,1 700 Т,Astana
Medusa салат из морепродуктов 200 гр,Антипасти,3 990 Т,Astana
Casa Marrazzo Артишоки со стеблями на гриле в масле 750 гр,Антипасти,7 000 Т,Astana
Casa Marrazzo Баклажаны на гриле в масле 1000 гр,Антипасти,5 800 Т,Astana
Casa Marrazzo Перец на гриле 800 гр,Антипасти,5 400 Т,Astana
Грибной микс Le Bonta 3100 мл,Антипасти,21 000 Т,Astana
Чеснок маринованный с зеленью Le Bonta 1062 мл,Антипасти,7 800 Т,Astana
Артишок на гриле сердцевина Le Bonta  3100 мл,Антипасти,28 500 Т,Astana
Le Bonta Артишоки сердцевина 3100 мл,Антипасти,24 000 Т,Astana
Plaza Del Sol Фасоль белая вареная 540 гр,Антипасти,1 700 Т,Astana
Помидоры полувяленые Ciliegino Le Bonta 1700 мл,Антипасти,18 800 Т,Astana
Антипасто Рустико в масле Le Bonta 3100 мл,Антипасти,18 500 Т,Astana
Casa Marrazzo Крем из Брокколи Априлатико 300 гр,Антипасти,7 500 Т,Astana
Casa Marrazzo Эскарол с каперсами в масле 1000 гр,Антипасти,7 500 Т,Astana
Помидоры вяленые alla Pugliese Le Bonta 3100 мл,Антипасти,18 800 Т,Astana
